,r_p_diff,score,sd1,sd2,sd1/sd2,beats_per_sec,label,dom_freq
99,4,0.696969697,52.82780432,141.4495886,0.373474429,1.133333333,N,0.866666667
100,0,0.625,21.8372305,100.7203944,0.216810415,1.046274243,N,4.057502552
101,0,0.9375,11.62086545,34.38843495,0.337929466,1.1,N,4.633333333
102,0,0.666666667,56.12551973,81.52460171,0.688448868,0.933333333,N,0.933333333
103,3,0.615384615,49.85008389,73.23225357,0.680712138,1.166666667,N,0.583333333
104,0,0.833333333,30.98357403,69.16594131,0.447959985,1.233333333,N,6.433333333
105,3,0.466666667,21.94419329,30.41521057,0.721487469,1.118881119,N,1.258741259
106,2,1,11.54742002,21.4383517,0.538633762,1.016666667,N,1.033333333
107,2,0.806451613,13.34004461,74.05624322,0.180133963,1.066666667,N,1.066666667
108,0,0.9,184.6422485,64.84011862,2.847654391,1.033333333,N,0.766666667
109,0,0.966666667,35.45599749,41.77081712,0.848822215,1.033333333,N,1.066666667
110,16,0.828125,63.88623238,96.9422633,0.659013213,2.161862528,A,8.148558758
111,0,1,8.695062742,13.76890013,0.631500168,1.006097561,N,3.109756098
112,0,0.911764706,67.68234562,115.0406165,0.588334344,1.166666667,N,1.233333333
113,1,0.965517241,11.32736688,39.61290517,0.28595143,1,N,0.633333333
114,19,0.823529412,35.00972798,74.76419414,0.468268646,1.166666667,N,1.2
115,3,0.88,33.77256904,39.8705467,0.84705558,1.27826942,N,1.27826942
116,1,0.95,61.16714901,96.18020531,0.63596401,1.366666667,N,1.433333333
117,0,1,3.436270668,18.18665605,0.188944612,1.286261631,N,4.105090312
118,1,0.8125,135.9016004,70.76322764,1.920511613,1.1,N,0.6
119,0,0.48,22.59731186,67.58503731,0.334353768,0.866666667,N,0.9
120,1,1,8.10768573,10.14980387,0.798802207,1.066666667,N,1.1
121,0,1,7.752325572,70.40513902,0.110110223,1.5,N,4.233333333
122,40,0.555555556,105.0780285,138.2900421,0.759837996,2.133333333,A,2.8
123,2,0.633333333,39.09854213,115.6546332,0.338062912,1.033333333,N,0.6
124,4,0.976744186,49.90000078,24.72728553,2.018013693,1.466666667,A,1.533333333
125,1,0.742857143,21.55982441,103.7307025,0.207844196,1.2,N,1.133333333
126,2,0.930232558,57.57762843,60.34744973,0.954102099,1.466666667,N,1.1
127,10,0.945945946,18.29775823,64.2826033,0.28464557,1.340545626,N,0.670272813
128,0,1,9.3580962,19.38909187,0.482647473,1.366666667,N,1.4
129,2,0.714285714,177.4085232,160.827484,1.103098294,1.2,N,1.2
130,2,0.848484848,61.78615781,92.05666917,0.671175249,1.133333333,N,0.7
131,0,0.942857143,47.34172522,32.97595328,1.435643871,1.2,N,1.033333333
132,1,1,10.50967252,40.45319788,0.259798312,1.333333333,N,1.433333333
133,1,0.419354839,124.4163907,141.3117777,0.880438932,1.066666667,N,3.233333333
134,5,0.787234043,119.4732189,86.00622038,1.389123,1.6,N,1.466666667
135,27,1,12.8281337,29.19447492,0.439402789,1.133333333,N,1.15
136,0,0.846153846,38.47030601,54.00773607,0.712311028,0.9,N,0.933333333
137,7,0.981818182,25.2086628,63.38969708,0.397677603,1.193690493,N,1.193690493
138,0,0.862068966,80.3161271,49.1734401,1.633323334,1,N,1.033333333
139,1,0,192.9076641,276.3049845,0.698169324,0.966666667,N,3.533333333
140,0,0.647058824,59.66833475,125.7712459,0.474419525,1.166666667,N,1.266666667
141,0,0.866666667,18.43099058,42.29260324,0.435797023,1.033333333,N,1.066666667
142,0,0.8,28.17975202,73.04112381,0.38580666,1.2,N,1.2
143,0,0.75,26.93027872,70.55320442,0.381701709,1.1,N,1.166666667
144,0,0.970588235,15.67512748,31.33104733,0.500306527,1.166666667,N,1.233333333
145,0,1,8.837951177,61.16189652,0.144500934,1.2,N,4.766666667
146,0,0.259259259,143.7966687,250.6464358,0.573703226,0.933333333,N,0.9
147,1,0.9375,129.3805782,136.888731,0.945151418,1.206140351,N,0.804093567
148,0,0.909090909,152.5676506,81.87049394,1.863524248,1.133333333,N,1.166666667
149,0,1,4.616552544,31.36011362,0.147210964,1.533333333,N,4.933333333
150,0,0.392857143,120.5236125,169.1243125,0.712633274,0.966666667,N,0.966666667
151,9,0.852941176,31.70928938,51.96741462,0.610176389,1.166666667,N,0.9
152,0,1,13.90122909,30.5653744,0.454803167,1.266666667,N,1.3
153,0,0.909090909,19.25689248,36.61743558,0.525894077,1.133333333,N,1.166666667
154,2,0.928571429,13.70092286,16.30471163,0.840304519,0.966666667,N,3.066666667
155,1,0.064516129,148.8768859,307.3186005,0.484438253,1.066666667,N,0.966666667
156,3,0.612903226,84.65908394,153.1556942,0.552764847,1.066666667,N,1.066666667
157,0,1,7.116956336,24.52281047,0.290217809,1.433333333,N,3.033333333
158,0,0.983870968,17.51832798,31.71221447,0.552415789,1.05,N,1.083333333
159,3,0.258064516,106.1754895,198.0870865,0.536004095,1.066666667,N,0.766666667
160,1,1,7.884584115,19.62283251,0.401806626,1.4,N,4.333333333
161,2,1,3.232548381,38.61841483,0.083704844,1.333333333,N,4
162,0,1,6.004625343,24.20492207,0.248074558,1.5,N,4.666666667
163,1,0.032258065,203.3976978,291.5845281,0.697559981,1.066666667,N,0.966666667
164,13,1,19.47916878,62.66731141,0.310834602,1.984219076,A,1.148758413
165,2,0.566666667,178.6558199,189.2518875,0.944010769,1.033333333,N,1
166,2,0,158.5668033,235.8273568,0.67238511,0.9,N,0.933333333
167,1,0.96875,21.28217505,28.02596949,0.759373375,1.1,N,1.133333333
168,0,0.848484848,31.5867275,67.22794325,0.469845216,1.133333333,N,1.2
169,0,1,10.39797643,37.27205856,0.278975104,1.233333333,N,1.3
170,2,0.940298507,99.90251983,114.1432075,0.875238413,1.133333333,N,1.15
171,1,0.974358974,151.8149661,138.6241922,1.09515492,1.061571125,N,1.220806794
172,0,0.636363636,55.62286172,78.68005958,0.706949919,0.947281713,N,0.988467875
173,0,0.5,138.7465202,134.6235782,1.030625705,1.219512195,A,1.219512195
174,2,1,8.659001017,16.01797493,0.540580258,1.133333333,N,0.666666667
175,2,0.931034483,18.516402,36.57959668,0.50619481,1,N,1.033333333
176,2,0.655172414,51.82572346,70.63783546,0.733682213,1,N,0.766666667
177,2,0.985915493,99.19888289,106.6692655,0.929966869,1.197737607,N,1.24764334
178,1,0.972972973,126.8935286,138.14956,0.918522857,1.266666667,N,0.6
179,3,1,3.012138493,6.637014926,0.453839343,1.269035533,N,0.676818951
180,21,0.772727273,85.74870317,99.57165348,0.861175849,2.216666667,A,2.333333333
181,3,0.392857143,93.75638981,155.8921012,0.601418475,0.966666667,N,1
182,2,0.857142857,12.77106641,36.97422658,0.345404559,0.966666667,N,1
183,5,0.5625,32.75950526,61.60727871,0.531747319,1.146582734,N,1.146582734
184,2,0.736842105,24.13276322,44.82648302,0.538359505,1.204335608,N,1.264552389
185,0,0.071428571,197.6053486,267.6316844,0.738348111,0.966666667,N,0.9
186,0,1,3.131313131,12.70119181,0.246536953,1.166666667,N,3.6
187,0,0.875,20.5052382,48.63520619,0.421613062,1.1,N,1.133333333
188,1,0.914285714,72.33955586,117.889232,0.613623099,1.2,N,3.7
189,1,0.466666667,92.02224481,171.6043066,0.53624671,1.033333333,N,1.033333333
190,0,1,7.95057621,38.97961017,0.203967566,1.533333333,N,4.933333333
191,3,0.684210526,241.0061215,282.994593,0.851628008,0.998668442,N,0.599201065
192,2,0.678571429,21.80402103,56.5626146,0.385484674,0.966666667,N,1.033333333
193,2,1,14.81878383,28.20090067,0.525472005,1.133333333,N,1.2
194,0,0.666666667,21.2979385,35.20814574,0.604915086,0.833333333,N,0.866666667
195,0,0.975609756,40.96422058,69.44002729,0.5899223,1.401553529,N,4.272205336
196,2,1,5.165305808,27.66258695,0.186725335,1.144414169,N,1.164850136
197,29,0.918918919,86.11787407,80.28859457,1.072604079,2.5,A,1.1
198,5,0.848484848,30.11903108,70.53333376,0.427018396,1.133333333,N,0.733333333
199,3,1,12.1398741,10.72696275,1.131715882,1.233333333,N,3.733333333
200,0,0.709677419,30.49347228,74.33408071,0.41022196,1.066666667,N,1.1
201,2,0.62962963,86.34365538,54.26939886,1.591019197,0.933333333,N,0.966666667
202,0,1,18.75568298,26.55440476,0.706311557,1.012098651,N,3.140995812
203,1,0.238095238,90.3397138,182.9175209,0.493882234,1.032540676,N,0.985607009
204,0,1,16.27289944,26.08637319,0.623808428,1.233333333,N,5.233333333
205,12,0.645833333,105.8854798,176.5794376,0.599647848,1.633333333,A,1.6
206,3,1,12.02730056,21.60996409,0.556562728,1.433333333,N,0.9
207,1,0.24,233.3281869,266.9490512,0.874055128,0.866666667,A,0.733333333
208,2,0.315789474,90.03899452,188.2137876,0.478386816,1.3,N,0.866666667
209,0,0.945945946,15.37204364,57.41726319,0.267725119,1.266666667,N,4
210,2,0.714285714,77.21461202,120.5587601,0.640472844,1.2,N,1.2
211,13,0.75,194.3341433,142.5095499,1.363656986,1.5,A,1.9
212,0,0.75,61.51470369,87.88280033,0.699962944,1.035108959,N,1.071428571
213,0,0.548387097,84.09903774,153.8365535,0.546677859,1.066666667,N,1.066666667
214,8,0.871794872,31.92428138,67.12343522,0.475605595,1.333333333,N,0.8
215,0,1,16.75166593,20.6640966,0.810665293,1.033333333,N,3.3
216,2,1,5.765509729,9.679936564,0.595614412,1.092779087,N,0.674951789
217,0,0.24,178.1410947,205.2527565,0.867910851,0.866666667,N,0.866666667
218,0,0.888888889,19.35583959,63.82906595,0.303244914,1.233333333,N,0.733333333
219,1,0.538461538,184.5523446,171.9989592,1.07298524,1.195219124,A,1.109846329
220,2,1,5.89255651,9.855730144,0.597881276,1.333333333,N,0.962962963
221,0,0.714285714,37.26125546,56.55978516,0.658794148,0.966666667,N,1
222,3,0.918918919,69.94817305,113.5900928,0.615794664,1.266666667,N,0.833333333
223,1,0.473684211,37.02685045,42.26768183,0.876008545,1.012487344,N,1.012487344
224,4,0.451612903,101.2538675,169.1755608,0.598513562,1.066666667,N,0.966666667
225,2,0.891891892,61.75113779,44.23213178,1.396069674,1.266666667,N,1.333333333
226,0,0.730769231,20.10328884,34.82195987,0.577316409,0.9,N,0.933333333
227,5,0.8,153.13093,113.4717495,1.349507087,1.533333333,N,0.9
228,5,1,16.51476539,32.5674173,0.507094721,1.166666667,N,1.166666667
229,3,1,6.939861323,11.10412896,0.624980252,1.3,N,1.333333333
230,1,0.766666667,21.26716353,81.33075375,0.261489812,1.033333333,N,1.133333333
231,1,0.083333333,17.17409372,26.9271029,0.637799535,1.086350975,N,1.086350975
232,2,1,8.40417766,22.1550047,0.379335404,1.033333333,N,1.133333333
233,0,1,6.275342258,7.718360357,0.813040849,1.3,N,2.666666667
234,0,0.68,48.13496971,63.60413596,0.756789932,1.098591549,N,1.056338028
235,3,0.921875,230.1487014,241.8162672,0.951750286,1.083333333,N,1.116666667
236,0,1,14.2040909,15.0530894,0.943599717,1.391129032,N,4.385080645
237,0,0.517241379,103.0815935,205.4366478,0.50176828,1,N,1.033333333
238,9,0.944444444,69.17741495,113.8203621,0.607777147,1.233333333,N,0.9
239,3,0.705882353,27.91170652,90.80465382,0.307381895,1.166666667,N,1.166666667
240,0,0.9,17.71495207,46.42411913,0.381589407,1.033333333,N,1.066666667
241,4,0.36,302.1876097,228.9406082,1.319938879,0.866666667,N,0.833333333
242,3,0.648648649,107.5763359,153.5032718,0.700808097,1.266666667,N,1.266666667
243,1,0.822580645,74.89628729,125.8594391,0.595078826,1.05,N,1.1
244,1,0.724137931,31.46372493,62.40298593,0.504202234,1,N,1.1
245,0,1,5.961683208,15.85524799,0.376006935,1.4,N,2.9
246,0,0.5,151.5721112,159.4829968,0.950396684,1.033333333,N,1.066666667
247,2,0,239.7566544,312.94799,0.766123005,0.9,N,1.333333333
248,2,0.941176471,82.28250836,123.7545649,0.664884632,1.166666667,N,0.633333333
249,0,1,2.382005093,8.722754919,0.273079447,1.35,N,2.75
250,0,1,7.720502745,28.44936539,0.271376976,1.166666667,N,2.533333333
251,0,1,3.632764893,6.299868013,0.576641429,1.3,N,4.1
252,1,0.576923077,36.48268996,75.05991681,0.486047567,0.9,N,0.933333333
253,1,0.529411765,151.8273887,133.7706709,1.134982636,1.166666667,A,0.8
254,23,0.440677966,127.662767,241.1936375,0.529295749,2,A,1.033333333
255,2,0.84375,15.7665358,72.38595952,0.217812072,1.1,N,1.133333333
256,3,0.93877551,13.93568505,49.37299769,0.282253169,1.666666667,N,0.8
257,0,0.066666667,237.7686713,221.440354,1.073736865,1.033333333,N,0.966666667
258,3,0.307692308,254.4468469,170.6132909,1.491365916,1.333333333,A,4.4
259,5,0.942028986,41.40951501,81.15215695,0.510270048,1.166666667,N,1.15
260,0,0.566666667,95.35090708,157.3907001,0.605823006,1.033333333,N,3.033333333
261,6,1,7.104554012,61.56565638,0.115398006,1.116666667,N,1.066666667
262,1,1,16.35945295,32.05500428,0.510355662,1.346555324,N,1.377870564
263,2,0.21875,117.3661209,199.1064268,0.589464252,1.1,N,0.766666667
264,0,0.918918919,76.20508189,130.0535891,0.585951394,1.266666667,N,0.7
265,1,0.631578947,94.25628047,151.8706236,0.620635369,1.3,N,0.966666667
266,0,1,11.34510273,28.85018952,0.393241879,1.166666667,N,1.2
267,3,0.864864865,63.89945565,52.25582548,1.222819754,1.266666667,N,1.333333333
268,1,0.970588235,16.23625442,30.80112523,0.52713186,1.166666667,N,1.233333333
269,0,0,30.71423444,30.26885699,1.014714049,0.791556728,N,0.98944591
270,0,0.970588235,25.6505998,18.32212975,1.399979159,1.166666667,N,2.466666667
271,4,1,5.480980958,12.1195337,0.452243551,0.966666667,N,1.033333333
272,0,0.045454545,479.1927841,425.8020754,1.125388559,0.766666667,N,0.8
273,15,0.763636364,72.76964897,80.73796811,0.90130642,1.866666667,A,0.966666667
274,1,1,6.273401931,24.08945669,0.260421064,1.3,N,4.133333333
275,7,1,30.22488579,39.94636261,0.756636745,1.366666667,N,0.833333333
276,2,0.56097561,147.9577525,224.4387986,0.659234292,1.4,N,0.9
277,2,1,7.762929536,12.74960823,0.608875928,1.392919327,N,1.450957632
278,0,1,9.722685444,16.10566019,0.603681273,1.233333333,N,1.3
279,0,0.470588235,72.55099287,174.7247606,0.415230175,1.166666667,N,1.1
280,8,1,6.415951886,28.17260492,0.227737261,1.371543265,N,1.40499554
281,3,0.612903226,89.43360873,137.313375,0.651310251,1.066666667,N,0.766666667
282,0,0.984126984,28.86060365,34.90270241,0.826887366,1.075389269,N,1.092192226
283,0,0.709677419,93.67296012,133.3909366,0.702243814,1.066666667,N,1.066666667
284,5,0.969230769,58.37944606,43.13701272,1.353349302,1.294794664,N,0.667015433
285,8,0.954545455,15.66513484,68.37164943,0.229117404,1.116666667,N,1.1
286,1,0.888888889,82.60498028,50.8826403,1.623441311,1.233333333,N,2.566666667
287,2,0.533333333,71.27920892,92.75207731,0.768491779,0.842696629,N,0.79002809
288,0,1,5.561504751,48.96346224,0.113584794,1.466666667,N,1.5
289,0,0.185185185,158.6618361,229.0348106,0.692741142,0.933333333,N,0.933333333
290,0,0.71875,46.6999782,102.34588,0.456295634,1.1,N,0.833333333
291,1,0.815789474,63.09593738,87.87469774,0.718021672,1.375823142,N,1.058325494
292,0,0.428571429,110.4323575,165.2350033,0.668335131,0.966666667,N,2.933333333
293,2,0.959183673,66.52415323,106.7924154,0.622929568,1.246261216,N,1.09670987
294,0,0.882352941,33.28156372,54.47751099,0.610922987,1.166666667,N,3.833333333
295,0,0.96969697,270.81898,266.0466323,1.017938012,1.133333333,N,0.733333333
296,2,0.59375,448.7307546,509.6060814,0.880544348,1.1,N,1.4
297,0,0.571428571,24.55655363,65.32375247,0.375920744,1.272624434,N,1.102941176
298,0,0.975,21.05341783,35.22487582,0.597686077,1.366666667,N,0.9
299,3,0.896551724,13.5012807,32.45789179,0.415962959,1,N,1.066666667
300,20,0.714285714,88.9918435,98.32019803,0.905122704,1.9,A,5
301,0,0.5,215.7400254,181.5086903,1.188593367,0.977488152,A,1.066350711
302,0,0.133333333,138.9877149,200.1483134,0.694423613,1.033333333,N,1.033333333
303,1,0.736842105,75.36007765,92.61037786,0.813732536,1.3,N,0.833333333
304,0,1,13.18253829,24.66694722,0.534421149,1.052631579,N,3.304093567
305,0,0.724137931,50.73070101,96.35104909,0.526519446,1,N,0.933333333
306,0,1,4.926221693,11.63774945,0.423296765,1.366666667,N,1.433333333
307,0,0.827586207,58.01046459,36.86355226,1.573653678,1,N,0.966666667
308,0,0.888888889,45.03432805,54.70075261,0.823285346,1.233333333,N,3.933333333
309,1,1,3.319520847,15.45271803,0.214817927,1.6,N,3.333333333
310,0,0.62962963,36.38541948,72.08458032,0.504760093,0.933333333,N,0.966666667
311,0,0,243.235408,311.3180596,0.781308377,0.967849594,N,0.867727222
312,0,0.942857143,21.32448724,39.40377687,0.541178764,1.2,N,1.2
313,4,0.709677419,482.7934661,553.0680087,0.872936887,1.066666667,N,0.9
314,1,1,18.257698,24.71694674,0.738671252,1.166666667,N,0.633333333
315,2,1,10.07142948,29.3339561,0.343336898,1.1,N,1.166666667
316,1,1,4.82998946,19.15635629,0.252135082,1.233333333,N,0.866666667
317,1,0.285714286,15.42516025,41.19117246,0.374477329,0.968158348,N,1.032702238
318,10,0.805555556,53.93512522,73.34279469,0.735384102,1.233333333,N,0.7
319,30,0.90990991,50.39383917,55.49956775,0.908004174,2.214313958,A,4.883353104
320,3,1,10.53653714,26.82704116,0.392758078,1.1,N,1.033333333
321,1,0.821428571,26.33539087,57.41391175,0.458693548,0.966666667,N,1
322,1,0.841269841,42.33542401,86.41194992,0.489925572,1.066666667,N,1.033333333
323,1,0.7,90.64076593,149.2382561,0.607356105,1.033333333,N,1.033333333
324,0,0.771428571,34.67291,83.58244197,0.414834853,1.2,N,1.1
325,0,0.787878788,29.39051009,79.11497764,0.3714911,1.133333333,N,0.733333333
326,0,1,8.239312635,23.7644029,0.34670817,1.333333333,N,1
327,0,0.677419355,91.62066186,145.4326029,0.629987087,1.066666667,N,1.066666667
328,1,0.966666667,13.15828413,20.38829048,0.645384376,1.033333333,N,1.1
329,0,0.972972973,38.33394838,46.35602628,0.826946385,1.266666667,N,6.6
330,0,0.157894737,157.5541488,177.0723414,0.889772776,1.3,N,2.433333333
331,9,0.181818182,180.4493986,181.4943412,0.994242561,1.5,A,0.933333333
332,0,1,5.39262754,9.344648607,0.577081896,1.3,N,4.066666667
333,4,0.612903226,148.8453502,154.8578799,0.961173886,1.066666667,N,1.033333333
334,2,1,5.389928598,6.258441103,0.861225425,1.05,N,1.066666667
335,1,0.210526316,88.4503069,92.08825611,0.960494971,1.045296167,N,1.045296167
336,1,0.62962963,77.19976946,76.54377639,1.008570169,0.933333333,N,0.966666667
337,1,0,206.0297833,333.9507615,0.616946589,1.066666667,N,0.9
338,1,1,11.24737309,27.61461377,0.40729786,1.233333333,N,0.8
339,0,1,18.51838426,45.50503635,0.406952411,1.033333333,N,3.15
340,0,0.978947368,11.78329897,44.48671661,0.2648723,1.6,N,4.866666667
341,1,0.366666667,139.7143813,168.2072673,0.830608472,1.033333333,N,1.033333333
342,0,0.976190476,11.50255671,14.19042752,0.810585636,1.433333333,N,4.433333333
343,0,1,9.204132191,18.27701788,0.503590479,1.066666667,N,3.333333333
344,0,0.818181818,109.5515263,60.40824413,1.81351946,1.37669593,N,2.813248204
345,0,0.866666667,36.29045372,71.18034231,0.509838146,1.016666667,N,1.016666667
346,3,0.933333333,53.41724473,130.5756233,0.409090483,1.033333333,N,1.066666667
347,0,0.862068966,17.80468485,34.48807675,0.516256241,1,N,0.733333333
348,0,1,3.114343943,7.349861756,0.423728234,1.333333333,N,6.866666667
349,1,1,4.284798155,12.46231624,0.343820368,1.333333333,N,1.366666667
350,2,0.416666667,208.9773827,216.3764252,0.965804766,1.233333333,N,1.033333333
351,6,0.72,76.46648863,102.7088113,0.744497845,1.7,A,1.033333333
352,2,0.892857143,207.0858766,247.4038343,0.837035841,0.966666667,N,0.9
